method_of_phasing	ground_truth_data_source	genome_grch38	chrom	interval	start_grch38	end_grch38	n_switch_errors_grch38	n_checked_grch38	n_gt_errors_grch38	n_gt_checked_grch38	MAC_grch38	AN_grch38	multiallelic_grch38	MAF_grch38	decipher	switch_error_rate_grch38	genotype_error_rate_grch38	genome_chm13	start_chm13	end_chm13	n_switch_errors_chm13	n_checked_chm13	n_gt_errors_chm13	n_gt_checked_chm13	MAC_chm13	AN_chm13	multiallelic_chm13	MAF_chm13	switch_error_rate_chm13	genotype_error_rate_chm13	abs_diff_SER	rel_drop_SER	abs_diff_GER	rel_drop_GER
1kgp_variation_phased_with_reference_panel	HPRC_samples	GRCh38	chrX	Xp22.32	4400000	6100000	556	42103	6081	432822	5962074	53847496	2314	122878.805	False	1.3205709806902122	1.4049655516586494	CHM13v2.0	3944795	5652276	435	39582	5167	406107	5603272	50523876	2062	115483.7	1.0989843868425042	1.2723247813999758	0.22158659384770796	16.779604965413753	0.1326407702586736	9.44085569230384
1kgp_variation_phased_with_reference_panel	HPRC_samples	GRCh38	chr7	7p22.2	2800000	4500000	546	54654	3609	325898	4398180	40557868	1653	90646.61	False	0.9990119661872873	1.1074017023731353	CHM13v2.0	2913569	4616674	813	97771	4840	607056	7663476	75545640	2846	157945.47	0.8315349132155752	0.7972905300334729	0.16747705297171211	16.76426896175083	0.31011117233966234	28.003494276295726
1kgp_variation_phased_with_reference_panel	HPRC_samples	GRCh38	chrX	Xq23	109400000	117400000	1614	125855	14362	1494909	17467285	185982012	7234	360004.0	False	1.282428191172381	0.960727375378702	CHM13v2.0	107847498	115776569	1198	112189	10311	1321827	15415531	164448836	6089	317716.4	1.067840875665172	0.7800566942572666	0.2145873155072089	16.732891321660325	0.18067068112143536	18.805613928739994
1kgp_variation_phased_with_reference_panel	HPRC_samples	GRCh38	chr17	17q12	33500000	39800000	3118	227723	17729	1532366	18760981	190669044	8036	386670.1	True	1.3692073264448474	1.1569690269818047	CHM13v2.0	34446012	40663561	2240	196451	12529	1307043	16096140	162624484	6789	331746.34	1.1402334424360272	0.9585759611581257	0.22897388400882024	16.72309807188601	0.198393065823679	17.147655745048663
1kgp_variation_phased_with_reference_panel	HPRC_samples	GRCh38	chr10	10q24.1	95300000	97500000	922	80464	6142	530813	7049017	66074536	2681	145280.92	False	1.1458540465301252	1.1570929875492877	CHM13v2.0	96179180	98380193	722	75635	3857	494987	6575906	61610696	2269	135530.22	0.9545845177497191	0.7792123833555225	0.19126952878040615	16.69231167438894	0.37788060419376523	32.65775596774749
1kgp_variation_phased_with_reference_panel	HPRC_samples	GRCh38	chr14	14q22.3	55000000	57600000	1133	116326	6506	753850	9957125	93794012	3459	205217.61	False	0.9739868988876089	0.8630364130795252	CHM13v2.0	49205176	51806957	851	104806	4539	668805	8951852	83211800	2945	184498.72	0.8119764135641089	0.6786731558526027	0.16201048532350004	16.633743791475254	0.18436325722692248	21.362164380651016
1kgp_variation_phased_with_reference_panel	HPRC_samples	GRCh38	chrX	Xp22.31	6100000	9600000	970	62458	7882	660621	9070447	82188028	3496	186943.44	True	1.5530436453296614	1.193119806969503	CHM13v2.0	5652276	9182594	765	59076	5823	610467	8556410	75948356	3033	176348.31	1.2949421084704449	0.9538599138036945	0.25810153685921655	16.61907813314737	0.23925989316580853	20.053299909044608
1kgp_variation_phased_with_reference_panel	HPRC_samples	GRCh38	chr6	6q22.33	126800000	130000000	984	102127	8321	764619	9084299	95138016	3256	187227.25	False	0.9635062226443546	1.088254411674311	CHM13v2.0	127988742	131194763	771	95964	6890	710256	8454171	88374328	2821	174240.55	0.8034262848568212	0.9700727624969026	0.16007993778753338	16.61431281140998	0.11818164917740837	10.859744551421802
1kgp_variation_phased_with_reference_panel	HPRC_samples	GRCh38	chr6	6q14.2	83200000	84200000	299	35848	1955	233956	2540002	29112000	1042	52349.445	False	0.8340772149073867	0.8356272119543847	CHM13v2.0	84423242	85423294	229	32923	1251	212912	2302038	26491920	883	47445.04	0.6955623728092822	0.5875666942210866	0.1385148420981045	16.606956720845655	0.24806051773329807	29.68554807509538
1kgp_variation_phased_with_reference_panel	HPRC_samples	GRCh38	chr9	9p24.3	0	2200000	1575	148810	8178	928652	12231180	115579492	3770	252086.47	False	1.058396613130838	0.8806312806088826	CHM13v2.0	0	2202472	1146	129744	4655	799077	10615541	99451444	3090	218787.53	0.8832778394376619	0.5825471137324688	0.17511877369317608	16.54566648462319	0.2980841668764138	33.848918774531114
1kgp_variation_phased_with_reference_panel	HPRC_samples	GRCh38	chr3	3p24.1	26300000	30800000	1731	204772	9532	1340222	17921213	166748684	5473	369364.4	False	0.845330416267849	0.7112254536934925	CHM13v2.0	26302605	30802486	1336	189203	6644	1227926	16528654	152774924	4672	340661.47	0.7061198818200557	0.541074950770649	0.1392105344477933	16.468179988413368	0.1701505029228435	23.923567701244142
1kgp_variation_phased_with_reference_panel	HPRC_samples	GRCh38	chr10	10p13	12200000	17300000	2788	280527	17713	1785023	23927966	222100300	8621	493166.7	False	0.9938437298370567	0.9923121438771377	CHM13v2.0	12211271	17318428	2159	259904	11098	1650351	21927216	205336640	7259	451928.7	0.8306913321841911	0.6724630093840643	0.1631523976528656	16.416302961393626	0.3198491344930734	32.23271391634559
1kgp_variation_phased_with_reference_panel	HPRC_samples	GRCh38	chr2	2p14	63900000	68400000	2004	186204	13189	1265067	15974371	157403732	6076	329235.22	False	1.0762389637172134	1.042553477404754	CHM13v2.0	63907559	68410570	1551	172401	9593	1160289	14811807	144366408	5070	305275.06	0.8996467537891313	0.8267767771649994	0.1765922099280821	16.4082713859524	0.2157767002397546	20.696943122466116
1kgp_variation_phased_with_reference_panel	HPRC_samples	GRCh38	chr10	10p15.3	0	3000000	1563	143830	8189	962616	12452037	119781324	4489	256637.38	False	1.0866995758882014	0.8507026685615032	CHM13v2.0	0	2999810	1214	133561	5486	886473	11455983	110305368	3787	236109.23	0.9089479713389387	0.6188569759033834	0.17775160454926275	16.357014256123136	0.23184569265811983	27.253434275709942
1kgp_variation_phased_with_reference_panel	HPRC_samples	GRCh38	chr2	2q21.2	131700000	134300000	1094	114365	7589	740224	9953417	92120072	3164	205140.58	False	0.9565863682070564	1.0252302005879301	CHM13v2.0	132134645	134739485	722	90181	4491	589980	7800733	73405908	2541	160773.64	0.8006121023275412	0.7612122444828638	0.15597426587951524	16.30529882752354	0.2640179561050663	25.75206582420827
1kgp_variation_phased_with_reference_panel	HPRC_samples	GRCh38	chr2	2p25.1	6900000	12000000	2625	231919	12882	1521039	20594080	189305632	6920	424448.94	False	1.1318606927418624	0.8469210848637018	CHM13v2.0	6921497	12028815	2095	220899	9007	1428871	19552270	177830652	5894	402977.66	0.9483972313138583	0.6303578139664112	0.18346346142800407	16.20901428987477	0.21656327089729055	25.57065525557708
1kgp_variation_phased_with_reference_panel	HPRC_samples	GRCh38	chrX	Xq24	117400000	121800000	1095	83570	12282	910689	12203851	113299052	5071	251523.84	False	1.3102788081847554	1.3486492095545242	CHM13v2.0	115776569	120099927	838	76321	9498	808470	11136485	100581960	4225	229525.27	1.097993999030411	1.1748116813239824	0.21228480915434433	16.201499087697314	0.17383752823054177	12.889751241389336
1kgp_variation_phased_with_reference_panel	HPRC_samples	GRCh38	chr3	3p21.31	44200000	50600000	2412	171997	15693	1262974	15214083	157175688	6909	313566.38	False	1.402350040989087	1.2425433936090529	CHM13v2.0	44215563	50629881	1881	160037	10030	1146823	13961984	142716728	5524	287759.06	1.175353199572599	0.874590063157087	0.22699684141648802	16.18688877823867	0.3679533304519659	29.612915922656036
1kgp_variation_phased_with_reference_panel	HPRC_samples	GRCh38	chr20	20p11.23	17900000	21300000	1417	144351	7431	928713	12039676	115555232	3901	248139.36	False	0.9816350423620203	0.8001395479550734	CHM13v2.0	17951106	21359369	1021	124090	5013	794840	10257293	98898316	3186	211404.1	0.8227899105487952	0.63069296965427	0.15884513181322502	16.181689218328053	0.16944657830080334	21.177128256422286
1kgp_variation_phased_with_reference_panel	HPRC_samples	GRCh38	chr12	12q13.2	54500000	56200000	834	75108	4405	486515	5985621	60533552	2097	123364.484	False	1.1104010225275602	0.9054191545995498	CHM13v2.0	54466577	56167601	532	57160	2876	365359	4530754	45458388	1674	93379.164	0.9307207837648706	0.7871709743019879	0.17968023876268968	16.181562797347837	0.1182481802975619	13.060048453454787
1kgp_variation_phased_with_reference_panel	HPRC_samples	GRCh38	chr14	14q32.11	89300000	91400000	1008	92364	6075	616774	7876224	76739232	3082	162330.77	False	1.0913342860854878	0.9849636982103656	CHM13v2.0	83523641	85625240	750	81990	3678	546083	6904008	67942556	2490	142292.2	0.9147457006952067	0.6735239881116973	0.1765885853902811	16.180980258916588	0.3114397100986682	31.619410001052838
1kgp_variation_phased_with_reference_panel	HPRC_samples	GRCh38	chr3	3q12.1	98600000	100300000	478	67263	3409	448340	5650634	55783444	1764	116461.07	False	0.7106432957197866	0.7603604407369408	CHM13v2.0	101303688	103005343	360	60437	2130	404662	5002535	50349204	1548	103103.445	0.5956615980276982	0.5263652134373873	0.11498169769208832	16.179945464148403	0.23399522729955347	30.774250574209972
1kgp_variation_phased_with_reference_panel	HPRC_samples	GRCh38	chr9	9q21.13	71300000	76600000	2221	200672	12436	1366556	17579309	170028636	6265	362313.6	False	1.1067812151172063	0.9100249093341216	CHM13v2.0	83449676	88756405	1746	188185	8415	1274293	16381148	158548804	5509	337619.44	0.927810399341074	0.6603661795207225	0.17897081577613227	16.170387907891946	0.2496587298133991	27.434274298719796
1kgp_variation_phased_with_reference_panel	HPRC_samples	GRCh38	chr15	15q23	67200000	72400000	2058	183598	12262	1301784	15373663	161974316	6066	316854.94	False	1.120927243216157	0.9419381402751916	CHM13v2.0	65021911	70217331	1647	175138	9096	1239599	14510561	154235376	5429	299065.84	0.9404012835592505	0.7337856839187511	0.18052595965690654	16.105055948050882	0.20815245635644053	22.098314895246496
1kgp_variation_phased_with_reference_panel	HPRC_samples	GRCh38	chr3	3p25.2	11600000	13200000	720	71409	4111	466764	6216499	58073588	2172	128123.03	False	1.0082762676973491	0.8807448732121587	CHM13v2.0	11595822	13200348	546	64500	2688	424032	5545648	52755796	1823	114296.47	0.8465116279069768	0.6339144215530903	0.16176463979037237	16.04368217054264	0.24683045165906836	28.02519312532069
1kgp_variation_phased_with_reference_panel	HPRC_samples	GRCh38	chr9	9p23	9000000	14200000	2713	279630	11701	1916426	24383988	238441836	7545	502563.38	False	0.970210635482602	0.6105636220756763	CHM13v2.0	9006617	14209493	2150	263921	9252	1795081	22888971	223342412	6850	471750.44	0.8146377135582238	0.51540849688677	0.15557292192437822	16.034963567163242	0.09515512518890623	15.584800952506184
1kgp_variation_phased_with_reference_panel	HPRC_samples	GRCh38	chr2	2q22.1	136100000	141500000	2178	244992	12036	1676074	21082808	208538960	6983	434526.2	False	0.8890086206896552	0.718106718438446	CHM13v2.0	136544463	141946261	1716	229884	8699	1570650	19608056	195419152	6186	404129.72	0.7464634337317951	0.5538471333524337	0.14254518695786011	16.034173757199298	0.16425958508601224	22.873979711985115
1kgp_variation_phased_with_reference_panel	HPRC_samples	GRCh38	chr12	12q21.31	79900000	86300000	2185	253527	12930	1640624	21022540	204133344	6864	433282.88	False	0.8618411451245823	0.7881147660890002	CHM13v2.0	79878671	86280942	1597	220571	9088	1421879	18200469	176913624	5765	375116.22	0.7240299042031818	0.6391542458957478	0.1378112409214005	15.990329737794006	0.14896052019325245	18.900866549229278
1kgp_variation_phased_with_reference_panel	HPRC_samples	GRCh38	chr3	3q26.1	161000000	167900000	2127	298065	13631	1803131	26446588	224337072	7491	545065.75	False	0.7136027376578934	0.7559628224460675	CHM13v2.0	163774734	170683909	1661	276708	10578	1661375	24507451	206700052	6495	505098.12	0.6002717666276364	0.636701527349334	0.11333097103025702	15.881521335276705	0.11926129509673344	15.7760793990953
1kgp_variation_phased_with_reference_panel	HPRC_samples	GRCh38	chr4	4q21.22	81500000	83200000	794	75373	4554	477578	6637507	59417592	2248	136799.52	False	1.0534276199700159	0.9535615124649794	CHM13v2.0	84829707	86530115	522	58899	2705	373179	5114190	46428788	1666	105403.86	0.8862629246676514	0.7248532205724331	0.16716469530236444	15.86864556552281	0.22870829189254638	23.984639575199495
1kgp_variation_phased_with_reference_panel	HPRC_samples	GRCh38	chr17	17p11.2	16100000	22700000	3309	210321	38100	1490129	18149411	186879632	8165	374065.28	True	1.5733093699630565	2.5568256171110018	CHM13v2.0	16002309	23892419	2071	156427	25956	1131599	13383892	141591064	7651	275845.12	1.3239402404955667	2.293745399209437	0.2493691294674898	15.849974215391939	0.2630802179015648	10.289329711848838
1kgp_variation_phased_with_reference_panel	HPRC_samples	GRCh38	chr8	8q13.2	67100000	69600000	1139	102287	6307	660151	8711796	82134656	2832	179551.31	False	1.1135334891041873	0.9553874795311982	CHM13v2.0	67526469	70029827	822	87722	4844	555602	7534412	69126444	2272	155285.05	0.9370511388249242	0.8718471135813046	0.17648235027926307	15.848858791057928	0.08354036594989356	8.74413447315494
1kgp_variation_phased_with_reference_panel	HPRC_samples	GRCh38	chr9	9p24.2	2200000	4600000	1312	138592	5025	880166	11366398	109509640	3414	234262.4	False	0.9466635880858923	0.5709150319371573	CHM13v2.0	2202472	4603652	1030	129294	3931	820428	10510876	102076376	3025	216629.86	0.7966340278744566	0.4791401561136383	0.15002956021143576	15.848244518920207	0.09177487582351901	16.07504982170814
1kgp_variation_phased_with_reference_panel	HPRC_samples	GRCh38	chr3	3p14.3	54400000	58600000	1603	172932	11001	1147779	15393722	142804064	5559	317267.8	False	0.9269539472162469	0.9584597731793315	CHM13v2.0	54433863	58640379	1249	160115	8066	1052463	14148427	130945776	4640	291602.7	0.7800643287637011	0.7663927377969582	0.14688961845254578	15.846485026971703	0.19206703538237335	20.03913369731344
1kgp_variation_phased_with_reference_panel	HPRC_samples	GRCh38	chr1	1p22.1	91500000	94300000	903	96853	7392	667404	8040137	83037128	3425	165708.56	False	0.9323407638379813	1.1075750220256397	CHM13v2.0	91344645	94148241	623	79398	4779	542967	6509895	67554396	2769	134169.98	0.7846545253029044	0.8801639878666658	0.1476862385350769	15.840371274460463	0.2274110341589739	20.532336829252685
1kgp_variation_phased_with_reference_panel	HPRC_samples	GRCh38	chr17	17q24.2	66200000	69100000	1410	131174	10911	857433	11174278	106719740	4721	230303.42	False	1.0749081372833031	1.272519252233119	CHM13v2.0	67070785	69976574	1039	114820	7497	737807	9671262	91828952	4035	199325.77	0.9048946176624282	1.0161193916566256	0.17001351962087496	15.816562711169258	0.25639986057649344	20.14899657718674
1kgp_variation_phased_with_reference_panel	HPRC_samples	GRCh38	chrX	Xp21.2	29300000	31500000	524	42719	5138	454233	5480503	56511244	2585	112953.56	False	1.2266204733256865	1.1311375439477098	CHM13v2.0	28892068	31098156	410	39688	3552	414063	5047515	51513684	2185	104029.664	1.0330578512396695	0.8578404735511262	0.19356262208601693	15.780155826130837	0.2732970703965836	24.161258890122873
1kgp_variation_phased_with_reference_panel	HPRC_samples	GRCh38	chrX	Xq26.1	129500000	131300000	437	20044	3488	273468	3048163	34022224	1679	62822.9	False	2.180203552185193	1.2754691590972251	CHM13v2.0	127818782	129624103	325	17692	2420	240630	2711995	29936840	1358	55894.473	1.8369884693646845	1.0056933881893362	0.3432150828205083	15.74234123582212	0.26977577090788896	21.151101066123445
1kgp_variation_phased_with_reference_panel	HPRC_samples	GRCh38	chr9	9q21.32	81500000	84300000	1215	104801	6548	688036	8857240	85603836	3405	182549.06	False	1.1593400826327993	0.9516943880843445	CHM13v2.0	93652149	96450330	925	94655	4716	616911	7958962	76753788	2806	164035.16	0.9772331097142253	0.7644538677378099	0.18210697291857403	15.707813060773235	0.1872405203465346	19.674437791256604
1kgp_variation_phased_with_reference_panel	HPRC_samples	GRCh38	chrX	Xp21.1	31500000	37800000	1470	112022	10277	1250067	15186599	155521156	5608	313000.2	False	1.3122422381317955	0.8221159345859063	CHM13v2.0	31098156	37203573	1167	105457	7961	1158534	14352747	144133512	4923	295814.53	1.1066121736821644	0.6871615334552116	0.20563006444963117	15.670129986242575	0.13495440113069468	16.415495120973446
1kgp_variation_phased_with_reference_panel	HPRC_samples	GRCh38	chr6	6p11.2	57200000	58500000	356	41935	4639	278250	3820944	34619020	1227	78750.16	False	0.8489328723023727	1.6672057502246183	CHM13v2.0	57039025	58286706	156	21787	2651	146588	2008990	18238668	843	41405.51	0.7160233166567218	1.8084699975441372	0.13290955564565088	15.656073640450474	-0.14126424731951892	-8.473114209238219
1kgp_variation_phased_with_reference_panel	HPRC_samples	GRCh38	chr8	8p23.2	2300000	6300000	3229	370363	17313	2342341	31946369	291440232	10243	658426.44	False	0.8718473497622602	0.7391323466566141	CHM13v2.0	2084125	6054502	2436	331262	11939	2085674	28417064	259499516	8879	585686.8	0.735369586611202	0.5724288647219076	0.1364777631510582	15.653859954758554	0.16670348193470652	22.553942157824892
1kgp_variation_phased_with_reference_panel	HPRC_samples	GRCh38	chr10	10q25.2	110100000	113100000	1157	113835	7153	810859	10160903	100887636	3557	209417.56	False	1.0163833618834277	0.8821509041645957	CHM13v2.0	110983867	113991312	919	107189	4794	759480	9462046	94492700	3125	195013.8	0.8573640951963354	0.6312213619845157	0.15901926668709232	15.645599155855795	0.25092954218008	28.445194693498888
1kgp_variation_phased_with_reference_panel	HPRC_samples	GRCh38	chr13	13q34	109600000	114364328	2216	227398	12585	1482982	18944691	184608896	6481	390453.66	False	0.9745028540268603	0.8486279671634585	CHM13v2.0	108828306	113566686	1694	205991	7713	1325007	17105389	164914628	5149	352546.5	0.8223660257001519	0.582110132248358	0.15213682832670838	15.611737584763919	0.2665178349151005	31.405733163135917
1kgp_variation_phased_with_reference_panel	HPRC_samples	GRCh38	chr10	10p12.31	18400000	22300000	1652	173421	10188	1179569	14530501	146768148	5600	299475.47	False	0.9525951297709043	0.8637053025299919	CHM13v2.0	18419356	22319034	1276	158631	6560	1068821	13199783	132983616	4587	272048.62	0.8043824977463421	0.6137603958006065	0.14821263202456225	15.558827396084506	0.2499449067293854	28.938679199634322
1kgp_variation_phased_with_reference_panel	HPRC_samples	GRCh38	chr18	18q12.1	27500000	35100000	2863	292139	16262	1947647	23863386	242337992	8240	491836.6	False	0.980012939046139	0.8349562318017587	CHM13v2.0	27694024	35291319	2269	274186	10729	1822520	22250056	226772776	7164	458583.44	0.8275404287600387	0.5886903847420055	0.1524725102861002	15.558214000164527	0.24626584705975318	29.494461826859375
1kgp_variation_phased_with_reference_panel	HPRC_samples	GRCh38	chr8	8p11.23	36700000	38500000	983	52458	5694	406383	4038395	50562692	2249	83231.47	False	1.8738800564260933	1.401141287898362	CHM13v2.0	36976053	38776976	705	44554	3844	338739	3391826	42144472	1821	69905.75	1.5823495084616421	1.1347969970980607	0.2915305479644512	15.557588489439656	0.2663442908003013	19.00909587781855
1kgp_variation_phased_with_reference_panel	HPRC_samples	GRCh38	chr17	17q22	52100000	59500000	3130	284685	17494	1855556	23742368	230863012	8694	489341.62	False	1.0994608075592323	0.9427901933436662	CHM13v2.0	52967757	60368167	2408	259352	13323	1684099	21561748	209533620	7814	444396.6	0.9284678737777229	0.7911055110180577	0.17099293378150937	15.55243557622652	0.1516846823256085	16.08891176388344
1kgp_variation_phased_with_reference_panel	HPRC_samples	GRCh38	chr18	18q21.31	56200000	58600000	969	102115	6250	663623	8550065	82566484	3042	176218.42	False	0.9489301277970916	0.9417997869272162	CHM13v2.0	56402692	58801152	770	96086	3950	623970	7969944	77632000	2626	164262.12	0.8013654434569032	0.6330432552847093	0.14756468434018843	15.550637504023058	0.30875653164250694	32.78366972771126
1kgp_variation_phased_with_reference_panel	HPRC_samples	GRCh38	chr19	19p13.12	13800000	16100000	1445	129308	12567	773491	11266357	96263680	4734	232202.0	False	1.117486930429672	1.6247118583150935	CHM13v2.0	13926177	16234072	1093	115803	9863	690637	10051064	85943476	3922	207153.47	0.9438442872809858	1.4281018827546166	0.17364264314868616	15.538673287384297	0.19660997556047688	12.101221182959243
1kgp_variation_phased_with_reference_panel	HPRC_samples	GRCh38	chrX	Xq25	121800000	129500000	1780	139902	14660	1516242	19528405	188636056	7144	402487.3	False	1.272319194864977	0.9668641285494004	CHM13v2.0	120099927	127818782	1357	126138	10904	1350219	17471712	167981092	6071	360099.2	1.0758058634194296	0.8075726974661147	0.1965133314455474	15.445285447132006	0.1592914310832857	16.475058529917007
1kgp_variation_phased_with_reference_panel	HPRC_samples	GRCh38	chr21	21q21.1	15000000	22600000	3285	376320	18315	2410575	31077882	299926380	10169	640533.1	False	0.8729272959183674	0.7597772315733797	CHM13v2.0	13355188	20956835	2574	348719	12962	2233568	29157097	282832784	9238	600940.8	0.7381301276959386	0.580327082049886	0.13479716822242882	15.4419696637639	0.1794501495234937	23.618784831427565
1kgp_variation_phased_with_reference_panel	HPRC_samples	GRCh38	chr17	17q21.33	49300000	52100000	1312	107164	8115	695721	9009438	86564532	3812	185686.31	False	1.2242917397633535	1.1664158477320652	CHM13v2.0	50163080	52967757	1000	96589	6303	621224	8094928	77297212	3213	166838.14	1.0353145803352348	1.0146098669722998	0.18897715942811866	15.43563133609368	0.15180598075976537	13.014739216286475
1kgp_variation_phased_with_reference_panel	HPRC_samples	GRCh38	chr21	21q21.2	22600000	25500000	1111	159221	8108	972865	12297048	121042844	4187	253444.28	False	0.6977722787823214	0.8334147081044133	CHM13v2.0	20956835	23857586	910	154180	6137	938993	11835082	116826456	3834	243923.02	0.5902192242833052	0.6535724973455606	0.1075530544990162	15.413775778926963	0.17984221075885276	21.57895811173055
1kgp_variation_phased_with_reference_panel	HPRC_samples	GRCh38	chr10	10q11.23	48600000	51100000	1057	103394	5903	675892	8654495	84094864	2576	178369.92	False	1.0223030349923592	0.8733643836589278	CHM13v2.0	49449041	51948621	721	83365	2913	549826	6928192	68408348	2076	142791.47	0.8648713488874228	0.5298039743482484	0.1574316861049364	15.39970837571788	0.3435604093106793	39.337579564596595
1kgp_variation_phased_with_reference_panel	HPRC_samples	GRCh38	chr2	2p21	41500000	47500000	2647	288459	15983	1899687	24939154	236365180	8499	514003.9	True	0.9176347418523949	0.8413491275141642	CHM13v2.0	41509232	47505052	2117	272648	10538	1773674	23470621	220678664	7209	483735.9	0.7764590240896687	0.5941339840353976	0.1411757177627262	15.384739845152339	0.2472151434787666	29.383181772492506
1kgp_variation_phased_with_reference_panel	HPRC_samples	GRCh38	chr18	18q21.32	58600000	61300000	1042	125356	6617	818900	10773035	101887148	3692	222031.69	False	0.8312326494144676	0.8080351691293197	CHM13v2.0	58801152	61503246	832	118235	4396	767404	10124750	95477656	3224	208671.23	0.7036833424958768	0.5728403813376005	0.1275493069185908	15.344597810064176	0.2351947877917192	29.106998900202342
1kgp_variation_phased_with_reference_panel	HPRC_samples	GRCh38	chr6	6q25.1	148500000	152100000	1491	178218	10389	1115401	15921142	138796312	5132	328139.44	False	0.8366158300508366	0.9314139040578231	CHM13v2.0	149696304	153301308	1176	166029	7568	1027437	14786113	127845348	4404	304744.56	0.7083099940371863	0.7365901753586838	0.1283058360136503	15.336290732850921	0.19482372869913933	20.91698737267771
1kgp_variation_phased_with_reference_panel	HPRC_samples	GRCh38	chr12	12q24.33	128700000	133275309	2769	251057	40843	1595117	21963163	198534136	7342	452667.9	False	1.102936783280291	2.5605018315270915	CHM13v2.0	128730796	133324548	1905	203916	29461	1285955	17714797	160033516	5643	365106.9	0.9342082033778615	2.2909821883347394	0.1687285799024295	15.298118845996477	0.2695196431923521	10.526047662758742
1kgp_variation_phased_with_reference_panel	HPRC_samples	GRCh38	chr9	9q32	112100000	114900000	1237	110674	8056	765518	9755950	95244760	3728	201070.78	False	1.117697020076983	1.0523593174817574	CHM13v2.0	124271384	127092454	997	105291	5237	720295	9184149	89616440	3246	189286.2	0.946899545070329	0.7270632171540826	0.17079747500665388	15.28119624000518	0.32529610032767475	30.91112464382335
1kgp_variation_phased_with_reference_panel	HPRC_samples	GRCh38	chr10	10q23.31	87700000	91100000	1205	131197	6513	896077	11609533	111489256	3556	239274.64	False	0.9184661234631889	0.7268348590578712	CHM13v2.0	88583858	91983671	958	123102	4825	837394	10857093	104186996	3165	223766.56	0.7782164384006759	0.5761923300143063	0.140249685062513	15.269989984353959	0.1506425290435649	20.725826116654456
1kgp_variation_phased_with_reference_panel	HPRC_samples	GRCh38	chr15	15q26.2	93800000	98000000	2322	196144	10495	1247609	16185211	155230036	5537	333581.22	False	1.1838241292111917	0.8412090646989562	CHM13v2.0	91561911	95765652	1877	186693	7739	1186579	15347224	147631804	4975	316309.5	1.0053938819345127	0.652211104359676	0.178430247276679	15.072361077449148	0.18899796033928018	22.467418418382945
1kgp_variation_phased_with_reference_panel	HPRC_samples	GRCh38	chrX	Xq27.3	143000000	148000000	1347	110237	9839	1169454	14957519	145492072	5348	308276.12	False	1.2219127879024283	0.8413327929101957	CHM13v2.0	141308643	146265526	1061	102218	7666	1074255	13804419	133648340	4708	284511.22	1.0379776555988183	0.7136108279691508	0.18393513230361003	15.053049131219797	0.12772196494104493	15.18090891230458
1kgp_variation_phased_with_reference_panel	HPRC_samples	GRCh38	chr3	3q13.12	106500000	108200000	698	62508	2766	423133	5083883	52644200	1589	104779.32	False	1.1166570678953094	0.653695173857865	CHM13v2.0	109218980	110919781	552	58190	1988	397004	4693394	49393360	1395	96731.2	0.9486166007905139	0.5007506221599782	0.16804046710479548	15.048529395109679	0.1529445516978868	23.39692226810627
1kgp_variation_phased_with_reference_panel	HPRC_samples	GRCh38	chr9	9q22.33	96500000	99800000	1126	115535	6729	821866	9630979	102372348	3716	198495.11	False	0.9745964426364306	0.8187466083278783	CHM13v2.0	108671778	111971620	868	104809	4697	729903	8748129	90863404	3157	180299.33	0.8281731530689158	0.6435101650493285	0.14642328956751482	15.023991794123292	0.1752364432785498	21.403013031887152
1kgp_variation_phased_with_reference_panel	HPRC_samples	GRCh38	chr18	18q12.3	39500000	45900000	2462	237655	11332	1612830	20306272	200673868	6764	418516.94	False	1.0359554816856367	0.7026158987618037	CHM13v2.0	39695477	46090953	1973	224074	7871	1520495	19016676	189184332	5940	391938.75	0.8805126877727893	0.5176603671830555	0.15544279391284732	15.00477546196496	0.18495553157874822	26.32384662867565
1kgp_variation_phased_with_reference_panel	HPRC_samples	GRCh38	chr3	3p13	69700000	74100000	1911	182052	9923	1213202	15397308	150945720	5466	317342.2	False	1.0497000856898029	0.8179182032340863	CHM13v2.0	69736880	74141615	1529	171326	7098	1133778	14395128	141062196	4693	296686.0	0.8924506496387005	0.6260484856823822	0.15724943605110242	14.980415662990742	0.191869717551704	23.458301428314265
1kgp_variation_phased_with_reference_panel	HPRC_samples	GRCh38	chr13	13q21.2	59000000	61800000	963	118712	5090	759635	10339876	94512108	3174	213104.94	False	0.8112069546465395	0.6700586465868477	CHM13v2.0	58219746	61020124	714	103495	3526	660738	9032071	82207436	2582	186151.12	0.6898884004058167	0.5336457113106859	0.1213185542407228	14.955314860877145	0.13641293527616172	20.35835758123912
1kgp_variation_phased_with_reference_panel	HPRC_samples	GRCh38	chr16	16q23.1	74100000	79200000	2715	300228	18394	1991668	26029540	247806196	8843	536476.7	False	0.9043127223310286	0.9235474988803356	CHM13v2.0	79917729	85256228	2177	282852	12888	1854835	24320087	230780528	7787	501245.16	0.7696604584729824	0.6948326940132141	0.13465226385804618	14.890011003157822	0.22871480486712148	24.764812329025233
1kgp_variation_phased_with_reference_panel	HPRC_samples	GRCh38	chr6	6p12.3	46200000	51800000	2009	223391	11687	1512521	19152478	188199376	6354	394740.16	False	0.8993200263215617	0.7726834867086143	CHM13v2.0	46035128	51643048	1583	206788	8226	1397441	17529203	173876272	5530	361280.84	0.7655183086059152	0.588647391911358	0.13380171771564653	14.87809831867396	0.18403609479725636	23.81778541446402
